Yahoo Ticker,Name,Sector,Asset Class,Location,Ticker,Exchange,Currency
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,United States,BMY,New York Stock Exchange Inc.,USD
RTX,RAYTHEON TECHNOLOGIES CORP,Industrials,Equity,United States,RTX,New York Stock Exchange Inc.,USD
NEE,NEXTERA ENERGY INC,Utilities,Equity,United States,NEE,New York Stock Exchange Inc.,USD
QCOM,QUALCOMM INC,Information Technology,Equity,United States,QCOM,NASDAQ,USD
RY.TO,ROYAL BANK OF CANADA,Financials,Equity,Canada,RY,Toronto Stock Exchange,CAD
ORCL,ORACLE CORP,Information Technology,Equity,United States,ORCL,New York Stock Exchange Inc.,USD
COP,CONOCOPHILLIPS,Energy,Equity,United States,COP,New York Stock Exchange Inc.,USD
T,AT&T INC,Communication,Equity,United States,T,New York Stock Exchange Inc.,USD
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,United States,HON,NASDAQ,USD
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,United States,UPS,New York Stock Exchange Inc.,USD
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,United States,LOW,New York Stock Exchange Inc.,USD
CAT,CATERPILLAR INC,Industrials,Equity,United States,CAT,New York Stock Exchange Inc.,USD
ULVR.L,UNILEVER PLC,Consumer Staples,Equity,United Kingdom,ULVR,London Stock Exchange,GBP
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,United States,AMD,NASDAQ,USD
BP.L,BP PLC,Energy,Equity,United Kingdom,BP.,London Stock Exchange,GBP
MS,MORGAN STANLEY,Financials,Equity,United States,MS,New York Stock Exchange Inc.,USD
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,United States,GS,New York Stock Exchange Inc.,USD
UNP,UNION PACIFIC CORP,Industrials,Equity,United States,UNP,New York Stock Exchange Inc.,USD
TD.TO,TORONTO DOMINION,Financials,Equity,Canada,TD,Toronto Stock Exchange,CAD
AMGN,AMGEN INC,Health Care,Equity,United States,AMGN,NASDAQ,USD
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,United States,SBUX,NASDAQ,USD
SAP.DE,SAP,Information Technology,Equity,Germany,SAP,Xetra,EUR
SPGI,S&P GLOBAL INC,Financials,Equity,United States,SPGI,New York Stock Exchange Inc.,USD
SIE.DE,SIEMENS N AG,Industrials,Equity,Germany,SIE,Xetra,EUR
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,United States,IBM,New York Stock Exchange Inc.,USD
BA,BOEING,Industrials,Equity,United States,BA,New York Stock Exchange Inc.,USD
ELV,ELEVANCE HEALTH INC,Health Care,Equity,United States,ELV,New York Stock Exchange Inc.,USD
SCHW,CHARLES SCHWAB CORP,Financials,Equity,United States,SCHW,New York Stock Exchange Inc.,USD
PLD,PROLOGIS REIT INC,Real Estate,Equity,United States,PLD,New York Stock Exchange Inc.,USD
INTC,INTEL CORPORATION CORP,Information Technology,Equity,United States,INTC,NASDAQ,USD
DE,DEERE,Industrials,Equity,United States,DE,New York Stock Exchange Inc.,USD
CVS,CVS HEALTH CORP,Health Care,Equity,United States,CVS,New York Stock Exchange Inc.,USD
AXP,AMERICAN EXPRESS,Financials,Equity,United States,AXP,New York Stock Exchange Inc.,USD
6758.T,SONY GROUP CORP,Consumer Discretionary,Equity,Japan,6758,Tokyo Stock Exchange,JPY
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,United States,LMT,New York Stock Exchange Inc.,USD
MDT,MEDTRONIC PLC,Health Care,Equity,United States,MDT,New York Stock Exchange Inc.,USD
INTU,INTUIT INC,Information Technology,Equity,United States,INTU,NASDAQ,USD
BLK,BLACKROCK INC,Financials,Equity,United States,BLK,New York Stock Exchange Inc.,USD
GILD,GILEAD SCIENCES INC,Health Care,Equity,United States,GILD,NASDAQ,USD
CSL.AX,CSL LTD,Health Care,Equity,Australia,CSL,Asx - All Markets,AUD
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,United States,AMAT,NASDAQ,USD
ADI,ANALOG DEVICES INC,Information Technology,Equity,United States,ADI,NASDAQ,USD
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity,United States,AMT,New York Stock Exchange Inc.,USD
C,CITIGROUP INC,Financials,Equity,United States,C,New York Stock Exchange Inc.,USD
DGE.L,DIAGEO PLC,Consumer Staples,Equity,United Kingdom,DGE,London Stock Exchange,GBP
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,United States,BKNG,NASDAQ,USD
ADP,AUTOMATIC DATA PROCESSING INC,Information Technology,Equity,United States,ADP,NASDAQ,USD
TJX,TJX INC,Consumer Discretionary,Equity,United States,TJX,New York Stock Exchange Inc.,USD
SU.PA,SCHNEIDER ELECTRIC,Industrials,Equity,France,SU,Nyse Euronext - Euronext Paris,EUR
CI,CIGNA CORP,Health Care,Equity,United States,CI,New York Stock Exchange Inc.,USD
GE,GENERAL ELECTRIC,Industrials,Equity,United States,GE,New York Stock Exchange Inc.,USD
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,United States,MDLZ,NASDAQ,USD
NOW,SERVICENOW INC,Information Technology,Equity,United States,NOW,New York Stock Exchange Inc.,USD
TMUS,T MOBILE US INC,Communication,Equity,United States,TMUS,NASDAQ,USD
SYK,STRYKER CORP,Health Care,Equity,United States,SYK,New York Stock Exchange Inc.,USD
CB,CHUBB LTD,Financials,Equity,United States,CB,New York Stock Exchange Inc.,USD
MO,ALTRIA GROUP INC,Consumer Staples,Equity,United States,MO,New York Stock Exchange Inc.,USD
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,United States,ISRG,NASDAQ,USD
CFR.SW,COMPAGNIE FINANCIERE RICHEMONT SA,Consumer Discretionary,Equity,Switzerland,CFR,SIX Swiss Exchange,CHF
PYPL,PAYPAL HOLDINGS INC,Information Technology,Equity,United States,PYPL,NASDAQ,USD
AI.PA,LAIR LIQUIDE SOCIETE ANONYME POUR,Materials,Equity,France,AI,Nyse Euronext - Euronext Paris,EUR
RIO.L,RIO TINTO PLC,Materials,Equity,United Kingdom,RIO,London Stock Exchange,GBP
MMC,MARSH & MCLENNAN INC,Financials,Equity,United States,MMC,New York Stock Exchange Inc.,USD
PGR,PROGRESSIVE CORP,Financials,Equity,United States,PGR,New York Stock Exchange Inc.,USD
ZTS,ZOETIS INC CLASS A,Health Care,Equity,United States,ZTS,New York Stock Exchange Inc.,USD
